work_id,title,category
219,Afghanistan Paghman-mura no Monogatari: Boku no Mura ni Circus ga Kita,anime
220,Motoko's Choice Between Love or Swords: Don't cry!,anime
221,Rurouni Kenshin,anime
222,Ponyo sur la falaise,anime
223,Hot tails,manga
224,Mariés mais pas trop,manga
225,Yu-Gi-Oh ! Gx,manga
226,Kick-Heart,anime
227,Kizumonogatari III: Reiketsu-hen,anime
228,Magical Girl Lyrical Nanoha A's,anime
229,Nadia: Secret of Blue Water,anime
230,Bienvenue au Wakusei Drops - Sentimental Comedy,manga
231,Little Witch Academia: The Enchanted Parade,anime
232,Hakuouki,anime
233,Marmalade Boy,anime
234,Gabriel DropOut,anime
235,The Tatami Galaxy Specials,anime
236,Owari no Chronicle,anime
237,Capital (le),manga
238,Secret chaser,manga
239,Infirmière dévouée (Une),manga
240,Ao no Exorcist (Movie) Special,anime
241,Good bye,manga
242,Parasyte -the maxim-,anime
243,Bohemian Rhapsody,anime
244,School Rumble 2nd Term,anime
245,Appleseed XIII Remix Movie 1: Yuigon,anime
246,Teekyuu 3,anime
247,Midnight Secretary,manga
248,Choujigen Game Neptune: The Animation,anime
249,Yami Shibai 2nd Season,anime
250,Another,anime
251,Mirai no utena - La melodie du futur,manga
252,Kanokon Specials,anime
253,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,anime
254,Unbreakable Machine-Doll Special,anime
255,Oh! Edo Rocket,anime
256,Coq de combat,manga
257,Ameiro paradox,manga
258,Reborn,manga
259,Etrange petite Tatari (l'),manga
260,Mo Gyutto Love de Sekkinchuu!,anime
261,Twin Angel: Twinkle Paradise,anime
262,Remote,manga
263,Kiss Dum: Engage Planet,anime
264,Shattered Angels,anime
265,Please Rape Me!,anime
266,Flower,anime
267,Flowers of Evil,anime
268,First Kiss Story,anime
269,Requiem du roi des roses (le),manga
270,Mobile Police Patlabor,anime
271,Kanojo x Kanojo x Kanojo Full Version,anime
272,Lost Paradise,manga
273,Happy - Deluxe,manga
274,Pokemon XY: Koukoku no Princess Diancie,anime
275,Bubblegum Crisis,anime
276,Rumbling Hearts,anime
277,Saint Seiya: The Lost Canvas,anime
278,Angel Beats!,anime
279,Memory,anime
280,Kill la Kill Special,anime
281,Amagami SS+ Plus Specials,anime
282,Toshokan Sensou,anime
283,Sexy Holidays,manga
284,Inugami-san to Nekoyama-san Special,anime
285,Pupa,anime
286,Yume-iro Pâtissière: Mune Kyun Tropical Island!,anime
287,Koi to Senkyo to Chocolate Special,anime
288,Vie de Bouddha - Deluxe (la),manga
289,Punch Line,anime
290,Galaxy Angel Z,anime
291,"You're Being Summoned, Azazel",anime
292,Bleach the Movie: Memories of Nobody,anime
293,The Eternal Aseria,anime
294,Gunnm - kiosque,manga
295,Erin,anime
296,Golden boy (Dynamic),manga
297,Six half,manga
298,Haikyu!!,anime
299,Danna ga Nani wo Itteiru ka Wakaranai Ken,anime
300,Kansen 5: The Daybreak,anime
301,Doomed Megalopolis,anime
302,WWW.WAGNARIA!!,anime
303,A Gaze in Summer 1942,anime
304,Iron Wok Jan ! R,manga
305,Touch of pain,manga
306,Chopperman - le Super Docteur des petits et des grands,manga
307,Bokura wa Minna Kawaisou Specials,anime
308,"Orochi, the Eight-Headed Dragon",anime
309,Digimon: The Movie,anime
310,Plum - un amour de chat,manga
311,Dragonaut: The Resonance Special,anime
312,Handa-kun,anime
313,Choisis ton masque !,manga
314,Hidamari Sketch x 365 Specials,anime
315,Double Je,manga
316,"Geek, sa Blonde et l'Assassin (le)",manga
317,Hanasaku Iroha the Movie: Home Sweet Home,anime
318,Y-front mouse,manga
319,Twilight Q,anime
320,Panty & Stocking in Sanitarybox,anime
321,Quatre filles du Docteur March (les),manga
322,Master Keaton Deluxe,manga
323,The Severing Crime Edge,anime
324,Garden,anime
325,Gakuen Utopia Manabi Straight!,anime
326,Saiyuki,anime
327,Manga of the dead,manga
328,Ping Pong The Animation,anime
329,Mononoke,anime
330,Kaos,manga
331,Bubble Gôm Gôm,manga
332,Galaxy Angel Z Special,anime
333,RahXephon Interlude: Her and Herself/Thatness and Thereness,anime
334,Devil's Lost Soul,manga
335,Dragon Fall,manga
336,Forget me not,manga
337,Prisoner and paper plane,manga
338,Lune de miel torride,manga
339,Kemono no Souja Erin: Soushuuhen,anime
340,Vampire,anime
341,Baiser du diable (le),manga
342,Chemin des fleurs (le),manga
343,Digimon Adventure: Bokura no War Game!,anime
344,Kirihoshi,manga
345,Litchi hikari club,manga
346,Eagle (J'ai lu),manga
347,Terror in Resonance,anime
348,Berserk: The Golden Age Arc I - The Egg of the King,anime
349,Rosario + Vampire,manga
350,Cardfight!! Vanguard Movie: Neon Messiah,anime
351,Briar-Rose or The Sleeping Beauty,anime
352,Tayu tayu,manga
353,Kizumonogatari Part 1: Tekketsu,anime
354,Kingdom Hearts,manga
355,Princess Knight,anime
356,Nozoki Ana,anime
357,High School DxD BorN,anime
358,Next Stop,manga
359,Sound of the Sky,anime
360,Sword Art Online: Sword Art Offline - Extra Edition,anime
361,Searching for the Full Moon,anime
362,Abunai Sisters: Koko & Mika,anime
363,CLAMP School Detectives,anime
364,Issho ni Training Ofuro: Bathtime with Hinako & Hiyoko,anime
365,Twilight Of The Dark Master,anime
366,Witch Craft Works OVA,anime
367,Occult Academy,anime
368,Magikano,anime
369,Mermaid Melody: Pichi Pichi Pitch,anime
370,Nozokiana,manga
371,Jeu continue (le),manga
372,Servamp,manga
373,Undefeated Bahamut Chronicle,anime
374,Kimi Shika Iranai,manga
375,Kemeko DX,anime
376,The Girl Who Leapt Through Space,anime
377,"Tsuru, princesse des mers",manga
378,Final Fantasy VII: Last Order,anime
379,Kyoukai no Kanata: Shinonome,anime
380,Double Call - Coffret,manga
381,Disgaea,anime
382,Yes! Pretty Cure 5,anime
383,Piano,anime
384,Pokémon X/Y,manga
385,Hoshizora Kiseki,anime
386,Afterschool Charisma,manga
387,Oxed-Man,anime
388,Live cum,manga
389,Galerians: Rion,anime
390,Shikabane Hime,manga
391,Jinki:Extend,anime
392,Brothers Conflict Special,anime
393,Strike Witches Movie,anime
394,Step up love story,manga
395,A Jewish Girl in Shanghai,anime
396,Kizumonogatari,anime
397,Shugo Chara!! Doki,anime
398,Onmyouji Ayakashi no Megami: Inran Jubaku,anime
399,Kaze no Yojimbo,anime
400,Gonta,manga
401,One Piece: Episode of Alabaster - Prologue,anime
402,Shoubushi Densetsu Tetsuya,anime
403,Docteur lapin et Mister tigre !,manga
404,Puchitto Gargantia,anime
405,Memories,anime
406,Legend of the Mystical Ninja,anime
407,Princess Jellyfish,manga
408,Soukyuu no Fafner: Dead Aggressor - Exodus,anime
409,Rin x Sen: Hakudaku Onna Kyoushi to Yaroudomo,anime
410,New Fist of the North Star,anime
411,Pichi Pichi Pitch - La Mélodie des sirènes,manga
412,Otaku no Video,anime
413,Shin Koihime†Musou: Otome Tairan,anime
414,The Seven Metamorphoses of Yamato Nadeshiko,anime
415,Nouvelles de la litterature japonaise,manga
416,Martian Successor Nadesico,anime
417,Pokemon Diamond & Pearl,anime
418,Piece,manga
419,Uta no☆Prince-sama♪ Maji Love 2000%: Shining Star Xmas,anime
420,Sword Art Online II: Sword Art Offline II,anime
421,Mystères de Taisho (les),manga
422,Princesse Vampire Miyu,manga
423,Paradise Kiss,anime
424,Girls! Girls! Girls! - Saison 2,manga
425,Shoujo-tachi wa Kouya wo Mezasu OVA,anime
426,Drôle de Père (un),manga
427,"Oyaji no, Imo no Kamisama.",anime
428,Sea of mosaic,manga
429,Gakuen 2,anime
430,Carré de ciel bleu (Un),manga
431,Gintama: Shinyaku Benizakura-hen Special,anime
432,Cardcaptor Sakura: The Movie,anime
433,Animation Runner Kuromi,anime
434,Nurse Angel Ririka SOS,anime
435,Detective Conan Movie 15: Quarter of Silence,anime
436,Girls Bravo: Second Season,anime
437,Angel,manga
438,El Hazard 2: The Magnificent World,anime
439,Ping Pong Dash !!,manga
440,Queen's Blade Rebellion vs. Hagure Yuusha no Estetica,anime
441,Hibike! Euphonium Movie: Kitauji Koukou Suisougaku-bu e Youkoso,anime
442,Doubt,manga
443,Angel sanctuary,manga
444,Mahou Sensei Negima! Mou Hitotsu no Sekai Extra: Mahou Shoujo Yue,anime
445,InuYasha the Movie 3: Swords of an Honorable Ruler,anime
446,Spiral - Les liens du raisonnement,manga
447,Perverse Investigations,anime
448,Nouvel Angyo Onshi (le) - Les origines,manga
449,Gungrave,anime
450,Chuunibyou demo Koi ga Shitai!: Depth of Field - Ai to Nikushimi Gekijou,anime
451,Maka-Maka,manga
452,Mobile Suit Gundam Wing - Episode Zero,manga
453,Pokemon Mystery Dungeon: Team Go-Getters Out of the Gate!,anime
454,Calimero,anime
455,Loveless Specials,anime
456,High School of the Dead,anime
457,Code Geass: Boukoku no Akito Final - Itoshiki Monotachi e,anime
458,Saekano: How to Raise a Boring Girlfriend,anime
459,Akuei to Gacchinpo,anime
460,Tragédie de P (la),manga
461,Working!!! Lord of the Takanashi,anime
462,A Message for Passing the Baton from Cure Lovely to Cure Flora,anime
463,Diabolik Lovers,anime
464,Bakuman.,anime
465,.hack//Intermezzo,anime
466,Jungle Taitei: Yuuki ga Mirai wo Kaeru,anime
467,Hiyokoi (2012),anime
468,Yuki: Snow Fairy,anime
469,3 grammes,manga
470,Winter Sonata,anime
471,Angel Cop,anime
472,Tamayura: Hitotose,anime
473,Blood: The Last Vampire,anime
474,Corps du délit (le),manga
475,Shooting star lens,manga
476,Trop jeune pour moi ?!,manga
477,InuYasha: Kuroi Tessaiga,anime
478,Graveyard Kitaro,anime
479,Blue - Naoki Yamamoto,manga
480,Imawa no Kuni no Alice,anime
481,Angel Blade Punish!,anime
482,Azusa Will Help!,anime
483,Maria†Holic Alive,anime
484,Dragon Ball Z Movie 06: The Return of Cooler,anime
485,Oreca Battle,anime
486,Classroom☆Crisis,anime
487,Itsuka Tenma no Kuro Usagi Special,anime
488,Major S5,anime
489,Beauty reaction,manga
490,ChäoS;Child,anime
491,My Hime - Coffret,manga
492,Snow White with the Red Hair,anime
493,Combination,manga
494,Wet Summer Days,anime
495,The iDOLM@STER: 765 Pro to Iu Monogatari,anime
496,Brotherhood: Final Fantasy XV,anime
497,Paulette's Chair,anime
498,Dragon Age: Dawn of the Seeker,anime
499,Cubix,anime
500,Evangelion - Gakuen Datenroku,manga
501,Mizuiro,anime
502,Otome Chibaku Yuugi,anime
503,Tonari no Kaibutsu-kun: Tonari no Gokudou-kun,anime
504,Natsume's Book of Friends Season 4,anime
505,Oku-sama wa Michael,anime
506,Spriggan,anime
507,Tower of Druaga: The Sword of Uruk,anime
508,Glasses,anime
509,The Labyrinth of Grisaia: The Cocoon of Caprice 0,anime
510,Tweeny Witches,anime
511,Naruto the Movie 2: Legend of the Stone of Gelel,anime
512,"Subaru, danse vers les étoiles!",manga
513,Precure All Stars New Stage 2: Kokoro no Tomodachi,anime
514,Midnight,manga
515,ef - a tale of melodies.,anime
516,Pretty Cure Max Heart,anime
517,Jing: King of Bandits,anime
518,Delta Saga,manga
519,Magical Princess Minky Momo: La Ronde in my Dream,anime
520,Nana to Kaoru,anime
521,Merry Nightmare,manga
522,Drifters,anime
523,Muromi-san,anime
524,Gunnm Other Stories,manga
525,Space Chef Caisar,manga
526,Hunter x Hunter,anime
527,The Animatrix,anime
528,Lover-in-Law,anime
529,Extreme orient,manga
530,Love Hina Spring Movie,anime
531,The 7 Deadly Sins,anime
532,Arakawa Under the Bridge x Bridge,anime
533,Snow White with the Red Hair 2,anime
534,Time Killers,manga
535,Mahou Tsukai Nara Miso wo Kue!,anime
536,Mahou Sensei Negima! Introduction Film,anime
537,Pokémon - Films,manga
538,XXX Holic,manga
539,Princesse Résurrection,manga
540,Super Heavy God Gravion Zwei,anime
541,Destiny of the Shrine Maiden,anime
542,Delires Manga X,manga
543,.hack//Legend Of The Twilight,anime
544,Koroshiya-san: The Hired Gun,anime
545,Shojo Relook,manga
546,Overman King Gainer,manga
547,Isshuukan Friends. Specials,anime
548,Keijo!!!!!!!!,anime
549,Spirit of Wonder: Shounen Kagaku Club,anime
550,Barakamon,manga
551,Armored Trooper Votoms,anime
552,Tokkô,manga
553,Azumanga Daioh: Gekijou Tanpen,anime
554,Canaan,anime
555,Nanairo Inko,manga
556,A.LI.CE,anime
557,"The Idiot, the Tests, and the Summoned Creatures: Christmas Special",anime
558,Shin Sei Yariman Gakuen Enkou Nikki The Animation,anime
559,Mirumo,manga
560,Aya la conseillère culinaire,manga
561,Kuromukuro,anime
562,Chaos Dragon: Sekiryuu Senyaku,anime
563,The Ping-Pong Club,anime
564,Last Exile,anime
565,Black Blood Brothers,anime
566,Kobato,anime
567,School of the muse,manga
568,Ore wa Kanojo wo Shinjiteru!,anime
569,Kiss Ariki,manga
570,Inukami! the Movie,anime
571,Petite princesse Sara (la),manga
572,Expelled from Paradise,anime
573,Ai Shoujo Pollyanna Monogatari,anime
574,Shingeki no Bahamut: Manaria Friends,anime
575,Mission-E,anime
576,One Piece: Romance Dawn Story,anime
577,Father's vampire,manga
578,Rose de Versailles (la),manga
579,Aquarion,anime
580,Sweet Valerian,anime
581,Ranma ½ Special,anime
582,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui! OVA,anime
583,Young Black Jack,anime
584,Kanon (2006),anime
585,Muhyo et Rôji,manga
586,Gundam Build Fighters Try,anime
587,Rin x Sen + Ran -> Sem: Cross Mix,anime
588,Shortcut Love,manga
589,Drifters,manga
590,Interlude,anime
591,Mushishi Zoku Shou: Suzu no Shizuku,anime
592,"I Couldn't Become a Hero, So I Reluctantly Decided to Get a Job.",anime
593,Astro Boy (1980),anime
594,Nausicaa,manga
595,Gogo Monster,manga
596,Akikan! OVA,anime
597,Original Video Romance Animation,anime
598,Gundam 00,anime
599,Hakuouki Reimeiroku,anime
600,The Testament of Sister New Devil,anime
601,Bonjour citrouille !,manga
602,World's End,anime
603,Nurarihyon no Mago OVA,anime
604,Gunbuster 2,manga
605,Bienvenue au club,manga
606,X Day,manga
607,Wish Upon the Pleiades,anime
608,Devils and Realist,manga
609,Tenjho Tenge,anime
610,Lime-iro Senkitan,anime
611,Renkyori Enai,anime
612,Magical Kanan,anime
613,Tabisuru Nuigurumi: Traveling Daru,anime
614,Code Geass: Lelouch of the Rebellion Special Edition Black Rebellion,anime
615,Cross Game,anime
616,Junk record of the last hero,manga
617,One: To a Shining Season,anime
618,Plastic Elder Sister,anime
619,Kanokon: The Girl Who Cried Fox,anime
620,Attack on Titan: Wings of Freedom,anime
621,Makenki,manga
622,Cat's world,manga
623,The Asterisk War: The Academy City on the Water,anime
624,Puella Magi Madoka Magica Concept Movie,anime
625,Samurai Warriors: Legend of the Sanada,anime
626,Yu-Gi-Oh! Zexal Second: Iza! Saishuu Kessen e!! Special,anime
627,Digimon Tamers: Runaway Locomon,anime
628,Est-ce un zombie ?,manga
629,Toriko,manga
630,Carnival Phantasm: Illya's Castle,anime
631,"Love, Chunibyo & Other Delusions!: Sparkling... Slapstick Noel",anime
632,Red eyes sword - Akame ga Kill !,manga
633,Short program,manga
634,Totally Peeking,manga
635,Dinosaur King,anime
636,Niraikanai,manga
637,07-Ghost,anime
638,Hagane,manga
639,A Feather Stare at the Dark,anime
640,Bakuman,manga
641,Sakura Wars: The New Paris,anime
642,Lunar Legend Tsukihime,anime
643,Coffee time,manga
644,I''s Pure Bonus,anime
645,Patlabor: The Movie,anime
646,"Kill me, kiss me",manga
647,Ookami Shoujo to Kuro Ouji OVA,anime
648,Spelunker Is a Teacher,anime
649,Kirihito,manga
650,Ail Maniax: Inma Seifukugari & Majogari no Yoru ni,anime
651,Sword Art Online: Sword Art Offline,anime
652,Horizon in the Middle of Nowhere II,anime
653,Hayate no Gotoku! OVA,anime
654,Epée de Paros (l'),manga
655,Prétear: The New Legend of Snow White,anime
656,Senyuu. 2,anime
657,Ah! My Goddess TV,anime
658,Dragon Ball Specials,anime
659,Nyaruko: Crawling With Love! Second Season,anime
660,Onmyou Taisenki,anime
661,My Hero Academia,anime
662,Sorcerer Hunters,anime
663,Agent AIKa,anime
664,Haven't You Heard? I'm Sakamoto,anime
665,Master of Martial Hearts,anime
666,Fight!! Iczer-1,anime
667,Full Metal Panic! The Second Raid,anime
668,Haganai Next,anime
669,Shakugan no Shana: The Movie,anime
670,Clannad,manga
671,"After all,he melts with love to me",manga
672,Love is,manga
673,Warlord,manga
674,Noragami 2nd Season,anime
675,Downloader,anime
676,Love on the job,manga
677,Love Hina,anime
678,Sayonara Ginga Tetsudou 999: Andromeda Shuuchakueki,anime
679,Kizuna Ichigeki,anime
680,Angel Links,anime
681,Dancougar: Requiem for Victims,anime
682,Ethnicity 01,manga
683,Nyaruko: Crawling With Love! Second Season,anime
684,Shakugan no Shana S Specials,anime
685,Space Brothers: Apo's Dream,anime
686,Hand Maid May,anime
687,Ne me repousse pas,manga
688,The Wild Swans,anime
689,Hinata no Aoshigure,anime
690,Voix du coeur (la),manga
691,Reversible man,manga
692,Entretien avec une nymphe céleste,manga
693,Sakura Trick,anime
694,Diamond Daydreams,anime
695,Nodame Cantabile Finale Special,anime
696,Astro Boy: The Brave in Space,anime
697,"If I don't successfully pick up 420 girls, I am going to die in a lot of different ways.",anime
698,The Goddess is a Middle School Student,anime
699,Pokémon - la grande aventure - Kiosque,manga
700,Pokemon: Mewtwo - Kakusei e no Prologue,anime
701,Alice 19th,manga
702,Sailor Moon Sailor Stars,anime
703,Yuru Yuri Nachuyachumi!+,anime
704,Dingue de toi,manga
705,San Mao - Le petit vagabond,manga
706,Loups=Garous Pilot,anime
707,Bijoux (les),manga
708,RG Veda,manga
709,"One More Time, One More Chance",anime
710,Sayonara Zetsubou Sensei,anime
711,Blood-C,anime
712,Rainbow: Nisha Rokubou no Shichinin,anime
713,Pokemon the Movie: Kyurem VS. The Sword of Justice,anime
714,Uta no Prince Sama Revolutions,anime
715,Touhou Niji Sousaku Doujin Anime: Musou Kakyou,anime
716,Haikyuu!! Quest Picture Drama,anime
717,Petit Eva: Evangelion@School,anime
718,Yanase Takashi Märchen Gekijou,anime
719,Ground Defense Force Mao-chan,anime
720,Charlotte Special,anime
721,Utawarerumono Specials,anime
722,Kill Me Baby,anime
723,Cinderalla,manga
724,"Kill me, kiss me - Réédition",manga
725,La Blue Girl Returns,anime
726,Haiyoru! Nyaruani,anime
727,White Album 2,anime
728,Whisper of the Heart,anime
729,Psychic Academy,anime
730,Aozora Yell - Un amour en fanfare,manga
731,Nekoten!,manga
732,Aria the Scarlet Ammo Double A,anime
733,Meru Puri,manga
734,Ace wo Nerae!,anime
735,Mahoromatic: I'm Home!,anime
736,Mysterious Girlfriend X,anime
737,Nouvel Angyo Onshi (le),manga
738,Rumbling Hearts,anime
739,Beyblade,anime
740,One Piece: Chopper Kingdom of Strange Animal Island,anime
741,Crimson wolf,manga
742,"As the Moon, So Beautiful",anime
743,March Comes in Like a Lion,anime
744,Lupin III,anime
745,Mikagura Tanteidan,anime
746,Rowdy Sumo Wrestler Matsutaro!!,anime
747,On Your Mark,anime
748,Embracing Love,anime
749,Everyday Life with Monster Girls,anime
750,Jungle wa Itsumo Hare nochi Guu Final,anime
751,Graduation,anime
752,Battle Angel Alita,anime
753,Aoki Hagane no Arpeggio: Ars Nova,anime
754,Ojamajo Doremi Sharp Movie,anime
755,Witch Hunter,manga
756,Lupin III: Twilight Gemini no Himitsu,anime
757,Datura,manga
758,Mitsudomoe Special,anime
759,Sailor Moon S,anime
760,Space Dandy,anime
761,Chroniques de la guerre de Lodoss (Kami) - Coffret,manga
762,Little Women,anime
763,Tokyo Magnitude 8.0 Recap,anime
